-	buster	chatter	joe	the	a	bear	squirrel	tree	fish	log	angry	frightened	little	tall	chased	saw	said	thought	was	put	on	$	S	X	N	Y	Q	P	D	M	A	V	R
0	S6	S7	S8	S4	S5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	3	2	-	-	-	-
1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S11	S12	S13	S14	S15	S16	-	-	-	-	-	9	-	-	-	-	-	10	-
2	-	-	-	-	-	S24	S25	S26	S27	S28	S20	S20	S20	S23	-	-	-	-	-	-	-	-	-	-	17	-	-	-	-	19	18	-	-
3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R2	R2	R2	R2	R2	R2	R2	R2	-	-	-	-	-	-	-	-	-	-	-
4	-	-	-	-	-	R13	R13	R13	R13	R13	R13	R13	R13	R13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
5	-	-	-	-	-	R14	R14	R14	R14	R14	R14	R14	R14	R14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R10	R10	R10	R10	R10	R10	R10	R10	-	-	-	-	-	-	-	-	-	-	-
7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R11	R11	R11	R11	R11	R11	R11	R11	-	-	-	-	-	-	-	-	-	-	-
8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R12	R12	R12	R12	R12	R12	R12	R12	-	-	-	-	-	-	-	-	-	-	-
9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	A	-	-	-	-	-	-	-	-	-	-	-
10	S6	S7	S8	S4	S5	-	-	-	-	-	S20	S21	S22	S23	-	-	-	-	-	-	-	-	31	30	-	-	-	3	2	-	29	-	-
11	R24	R24	R24	R24	R24	-	-	-	-	-	R24	R24	R24	R24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
